label	kind	id_or_literal	name_or_value	role_or_type
causes	fact	F31_SENT_4_input_txt	causes	.
observational	fact	F32_SENT_4_input_txt	observational	.
observational	fact	F33_SENT_4_input_txt	observational	.
observational	fact	F34_SENT_4_input_txt	observational	.
requires_investigation	fact	F35_SENT_5_input_txt	requires_investigation	.
implies	fact	F36_SENT_5_input_txt	implies	.
observational_association	fact	F37_SENT_5_input_txt	observational_association	.
causes	fact	F38_SENT_5_input_txt	causes	.
observational_association	fact	F39_SENT_5_input_txt	observational_association	.
observational_association	fact	F40_SENT_5_input_txt	observational_association	.
causes	fact	F41_SENT_5_input_txt	causes	.
causes	fact	F42_SENT_5_input_txt	causes	.
causes	fact	F43_SENT_5_input_txt	causes	.
observational_association	fact	F44_SENT_5_input_txt	observational_association	.
observational_association	fact	F45_SENT_5_input_txt	observational_association	.
observational_association	fact	F46_SENT_5_input_txt	observational_association	.
causes	fact	F47_SENT_5_input_txt	causes	.
causes	fact	F48_SENT_5_input_txt	causes	.
causes	fact	F49_SENT_5_input_txt	causes	.
causes	fact	F50_SENT_5_input_txt	causes	.
observed_in	fact	F51_SENT_6_input_txt	observed_in	.
greater_than	fact	F52_SENT_6_input_txt	greater_than	.
normal_or_minimally_elevated	fact	F53_SENT_6_input_txt	normal_or_minimally_elevated	.
causes	fact	F54_SENT_6_input_txt	causes	.
causes	fact	F55_SENT_6_input_txt	causes	.
recommends	fact	F56_SENT_6_input_txt	recommends	.
requires_investigation	fact	F57_SENT_6_input_txt	requires_investigation	.
implies	fact	F58_SENT_6_input_txt	implies	.
requires_monitoring	fact	F59_SENT_7_input_txt	requires_monitoring	.
observational	fact	F60_SENT_7_input_txt	observational	.
observational	fact	F61_SENT_7_input_txt	observational	.
causes	fact	F62_SENT_7_input_txt	causes	.
requires_monitoring	fact	F63_SENT_7_input_txt	requires_monitoring	.
diagnostic_for	fact	F64_SENT_8_input_txt	diagnostic_for	.
precludes	fact	F65_SENT_8_input_txt	precludes	.
not_diagnostic_for	fact	F66_SENT_8_input_txt	not_diagnostic_for	.
component_of	fact	F67_SENT_8_input_txt	component_of	.
calculates	fact	F68_SENT_8_input_txt	calculates	.
indicator_of	fact	F69_SENT_8_input_txt	indicator_of	.
indicator_of	fact	F70_SENT_8_input_txt	indicator_of	.
causes	fact	F71_SENT_9_input_txt	causes	.
causes	fact	F72_SENT_9_input_txt	causes	.
causes	fact	F73_SENT_9_input_txt	causes	.
causes	fact	F74_SENT_9_input_txt	causes	.
causes	fact	F75_SENT_9_input_txt	causes	.
causes	fact	F76_SENT_9_input_txt	causes	.
causes	fact	F77_SENT_9_input_txt	causes	.
causes	fact	F78_SENT_9_input_txt	causes	.
causes	fact	F79_SENT_9_input_txt	causes	.
causes	fact	F80_SENT_9_input_txt	causes	.
causes	fact	F81_SENT_9_input_txt	causes	.
causes	fact	F82_SENT_9_input_txt	causes	.
not_diagnostic_of	fact	F83_SENT_10_input_txt	not_diagnostic_of	.
remains_high_in	fact	F84_SENT_10_input_txt	remains_high_in	.
remains_high_in	fact	F85_SENT_10_input_txt	remains_high_in	.
highest_levels_in	fact	F86_SENT_10_input_txt	highest_levels_in	.
especially_high_levels_in	fact	F87_SENT_10_input_txt	especially_high_levels_in	.
especially_high_levels_in	fact	F88_SENT_10_input_txt	especially_high_levels_in	.
dose_dependence	fact	F89_SENT_10_input_txt	dose_dependence	.
causes	fact	F90_SENT_10_input_txt	causes	.
causes	fact	F91_SENT_10_input_txt	causes	.
causes	fact	F92_SENT_10_input_txt	causes	.
causes	fact	F93_SENT_10_input_txt	causes	.
used_for_differentiation	fact	F94_SENT_11_input_txt	used_for_differentiation	.
requires	fact	F95_SENT_11_input_txt	requires	.
causes	fact	F96_SENT_11_input_txt	causes	.
causes	fact	F97_SENT_11_input_txt	causes	.
causes	fact	F98_SENT_11_input_txt	causes	.
requires_investigation	fact	F99_SENT_11_input_txt	requires_investigation	.
implies	fact	F100_SENT_11_input_txt	implies	.
observed_in	fact	F101_SENT_12_input_txt	observed_in	.
observed_in	fact	F102_SENT_12_input_txt	observed_in	.
causes	fact	F103_SENT_12_input_txt	causes	.
suggests	fact	F104_SENT_12_input_txt	suggests	.
suggests	fact	F105_SENT_12_input_txt	suggests	.
reflects	fact	F106_SENT_12_input_txt	reflects	.
reflects	fact	F107_SENT_12_input_txt	reflects	.
not_reflects	fact	F108_SENT_12_input_txt	not_reflects	.
observed_in	fact	F109_SENT_12_input_txt	observed_in	.
implies	fact	F110_SENT_12_input_txt	implies	.
implies	fact	F111_SENT_12_input_txt	implies	.
implies	fact	F112_SENT_12_input_txt	implies	.
not_observed	fact	F113_SENT_13_input_txt	not_observed	.
not_observed	fact	F114_SENT_13_input_txt	not_observed	.
causes	fact	F115_SENT_13_input_txt	causes	.
requires_investigation	fact	F116_SENT_13_input_txt	requires_investigation	.
observed	fact	F117_SENT_13_input_txt	observed	.
causes	fact	F118_SENT_13_input_txt	causes	.
observed	fact	F119_SENT_13_input_txt	observed	.
causes	fact	F120_SENT_13_input_txt	causes	.
observed	fact	F121_SENT_13_input_txt	observed	.
fails_to_provide	fact	F122_SENT_14_input_txt	fails_to_provide	.
requires_investigation	fact	F123_SENT_14_input_txt	requires_investigation	.
requires_investigation	fact	F124_SENT_14_input_txt	requires_investigation	.
role_in	fact	F125_SENT_14_input_txt	role_in	.
role_in	fact	F126_SENT_14_input_txt	role_in	.
role_in	fact	F127_SENT_14_input_txt	role_in	.
associated_with	fact	F128_SENT_14_input_txt	associated_with	.
associated_with	fact	F129_SENT_14_input_txt	associated_with	.
associated_with	fact	F130_SENT_14_input_txt	associated_with	.
differentiates	fact	F131_SENT_15_input_txt	differentiates	.
specificity_decreases	fact	F132_SENT_15_input_txt	specificity_decreases	.
level_increases	fact	F133_SENT_15_input_txt	level_increases	.
useful_for	fact	F134_SENT_15_input_txt	useful_for	.
requires_investigation	fact	F135_SENT_15_input_txt	requires_investigation	.
implies	fact	F136_SENT_15_input_txt	implies	.
greater information	literal	greater information	greater information	.
assessed in conjunction with a thorough history and clinical examination	literal	assessed in conjunction with a thorough history and clinical examination	assessed in conjunction with a thorough history and clinical examination	.
used to differentiate between alcoholic and non-alcoholic fatty liver disease	literal	used to differentiate between alcoholic and non-alcoholic fatty liver disease	used to differentiate between alcoholic and non-alcoholic fatty liver disease	.
used to differentiate between cholestasis and hepatitis and aid diagnosis in mixed picture	literal	used to differentiate between cholestasis and hepatitis and aid diagnosis in mixed picture	used to differentiate between cholestasis and hepatitis and aid diagnosis in mixed picture	.
increased	literal	increased	increased	.
increased (often)	literal	increased (often)	increased (often)	.
markedly raised	literal	markedly raised	markedly raised	.
elevated in similar proportions	literal	elevated in similar proportions	elevated in similar proportions	.
consider alternative causes	literal	consider alternative causes	consider alternative causes	.
fluctuate	literal	fluctuate	fluctuate	.
may be normal	literal	may be normal	may be normal	.
rise and fall gradually	literal	rise and fall gradually	rise and fall gradually	.
peaked rise >1000 I/U	literal	peaked rise >1000 I/U	peaked rise >1000 I/U	.
differentiating the site of biliary obstruction	literal	differentiating the site of biliary obstruction	differentiating the site of biliary obstruction	.
ALT titre is considerably higher than AST	literal	ALT titre is considerably higher than AST	ALT titre is considerably higher than AST	.
preferential rise	literal	preferential rise	preferential rise	.
less rise than ALP	literal	less rise than ALP	less rise than ALP	.
absence of either cholestatic liver enzyme levels or antimitochondrial antibodies	literal	absence of either cholestatic liver enzyme levels or antimitochondrial antibodies	absence of either cholestatic liver enzyme levels or antimitochondrial antibodies	.
outperforms	literal	outperforms	outperforms	.
low sensitivity	literal	low sensitivity	low sensitivity	.
specificity 65-79%	literal	specificity 65-79%	specificity 65-79%	.
other causes of liver disease excluded	literal	other causes of liver disease excluded	other causes of liver disease excluded	.
>1.12	literal	>1.12	>1.12	.
>1	literal	>1	>1	.
raised	literal	raised	raised	.
normal or disproportionately lower than GGT	literal	normal or disproportionately lower than GGT	normal or disproportionately lower than GGT	.
>2.5	literal	>2.5	>2.5	.
decrease	literal	decrease	decrease	.
less decrease	literal	less decrease	less decrease	.
increase	literal	increase	increase	.
AST:ALT ratio should be <1	literal	AST:ALT ratio should be <1	AST:ALT ratio should be <1	.
0.92	literal	0.92	0.92	.
>2	literal	>2	>2	.
0.7	literal	0.7	0.7	.
<1	literal	<1	<1	.
high	literal	high	high	.
<=1	literal	<=1	<=1	.
combination with other factors or models	literal	combination with other factors or models	combination with other factors or models	.
worsen	literal	worsen	worsen	.
rise	literal	rise	rise	.
consider cirrhosis	literal	consider cirrhosis	consider cirrhosis	.
