label	kind	id	name	atom_type
normal	node	N107	normal	PredicateNode
minimally_elevated	node	N108	minimally_elevated	PredicateNode
recommend	node	N109	recommend	PredicateNode
based_on	node	N110	based_on	PredicateNode
conjunction_with	node	N111	conjunction_with	PredicateNode
SENT_6	node	N112	SENT_6	SentenceNode
SENT_7	node	N113	SENT_7	SentenceNode
Ursodeoxycholic acid	node	N114	Ursodeoxycholic acid	ConceptNode
Primary Biliary Cholangitis	node	N115	Primary Biliary Cholangitis	ConceptNode
monitor	node	N116	monitor	PredicateNode
effects	node	N117	effects	ConceptNode
scoring criteria	node	N118	scoring criteria	ConceptNode
raised AST:ALT ratio	node	N119	raised AST:ALT ratio	ConceptNode
outperforms	node	N120	outperforms	PredicateNode
non-histological indicators of cirrhosis	node	N121	non-histological indicators of cirrhosis	ConceptNode
cirrhosis	node	N122	cirrhosis	ConceptNode
sensitivity	node	N123	sensitivity	ConceptNode
specificity	node	N124	specificity	ConceptNode
liver enzymes	node	N125	liver enzymes	ConceptNode
Primary Sclerosing Cholangitis	node	N126	Primary Sclerosing Cholangitis	ConceptNode
diagnosis	node	N127	diagnosis	PredicateNode
key role	node	N128	key role	PredicateNode
recent study	node	N129	recent study	ConceptNode
SENT_8	node	N130	SENT_8	ConceptNode
Transaminase	node	N131	Transaminase	ConceptNode
Mayo Risk Score	node	N132	Mayo Risk Score	ConceptNode
Oesophageal varices	node	N133	Oesophageal varices	ConceptNode
Endoscopic Retrograde Cholangiopancreatography	node	N134	Endoscopic Retrograde Cholangiopancreatography	ConceptNode
Magnetic Resonance Cholangiopancreatography	node	N135	Magnetic Resonance Cholangiopancreatography	ConceptNode
diagnostic	node	N136	diagnostic	PredicateNode
precludes	node	N137	precludes	PredicateNode
component_of	node	N138	component_of	PredicateNode
calculates	node	N139	calculates	PredicateNode
indicator_of	node	N140	indicator_of	PredicateNode
raised	node	N141	raised	PredicateNode
development_of	node	N142	development_of	PredicateNode
>1	node	N143	>1	NumberNode
Cirrhosis	node	N144	Cirrhosis	ConceptNode
Alcohol	node	N145	Alcohol	ConceptNode
GGT:ALP ratio	node	N146	GGT:ALP ratio	ConceptNode
>2.5	node	N147	>2.5	NumberNode
Jaundice	node	N148	Jaundice	ConceptNode
Macrocytosis	node	N149	Macrocytosis	ConceptNode
Folate deficiency	node	N150	Folate deficiency	ConceptNode
B12 deficiency	node	N151	B12 deficiency	ConceptNode
Bone marrow suppression	node	N152	Bone marrow suppression	ConceptNode
Alcoholic liver disease	node	N153	Alcoholic liver disease	ConceptNode
supports	node	N154	supports	PredicateNode
SENT_9	node	N155	SENT_9	ConceptNode
SENT_10	node	N156	SENT_10	ConceptNode
Alcohol abuse	node	N157	Alcohol abuse	ConceptNode
Former drinkers	node	N158	Former drinkers	ConceptNode
Current drinkers	node	N159	Current drinkers	ConceptNode
Men	node	N160	Men	ConceptNode
Daily drinkers	node	N161	Daily drinkers	ConceptNode
Women	node	N162	Women	ConceptNode
Binge drinkers	node	N163	Binge drinkers	ConceptNode
Alcohol consumption without food	node	N164	Alcohol consumption without food	ConceptNode
Alcohol intake	node	N165	Alcohol intake	ConceptNode
Top two quartiles of alcohol intake	node	N166	Top two quartiles of alcohol intake	ConceptNode
GGT level	node	N167	GGT level	ConceptNode
high	node	N168	high	PredicateNode
not diagnostic of	node	N169	not diagnostic of	PredicateNode
SENT_11	node	N170	SENT_11	SentenceNode
Alcoholic Liver Disease	node	N171	Alcoholic Liver Disease	ConceptNode
Non-alcoholic Fatty Liver Disease	node	N172	Non-alcoholic Fatty Liver Disease	ConceptNode
Liver Disease	node	N173	Liver Disease	ConceptNode
pyridoxal-5’-phosphate (vitamin B6)	node	N174	pyridoxal-5’-phosphate (vitamin B6)	ConceptNode
nutritionally-deficient heavy-drinker	node	N175	nutritionally-deficient heavy-drinker	ConceptNode
production	node	N176	production	PredicateNode
monitoring	node	N177	monitoring	ConceptNode
<1	node	N178	<1	NumberNode
SENT_12	node	N179	SENT_12	SentenceNode
Underlying liver disease	node	N180	Underlying liver disease	ConceptNode
Heavy drinker	node	N181	Heavy drinker	ConceptNode
Severity	node	N182	Severity	ConceptNode
High alcohol consumption	node	N183	High alcohol consumption	ConceptNode
>2	node	N184	>2	NumberNode
92%	node	N185	92%	NumberNode
70%	node	N186	70%	NumberNode
suggestive_of	node	N187	suggestive_of	PredicateNode
reflects	node	N188	reflects	PredicateNode
developed	node	N189	developed	PredicateNode
SENT_13	node	N190	SENT_13	ConceptNode
Sensitivity	node	N191	Sensitivity	ConceptNode
Specificity	node	N192	Specificity	ConceptNode
NAFLD	node	N193	NAFLD	ConceptNode
Clinical guide	node	N194	Clinical guide	ConceptNode
worsen	node	N195	worsen	PredicateNode
Cessation of alcohol intake	node	N196	Cessation of alcohol intake	ConceptNode
Admission to hospital	node	N197	Admission to hospital	ConceptNode
SENT_14	node	N198	SENT_14	SentenceNode
Non-alcoholic steatohepatitis	node	N199	Non-alcoholic steatohepatitis	ConceptNode
Liver enzyme analysis	node	N200	Liver enzyme analysis	ConceptNode
Metabolic risk factors	node	N201	Metabolic risk factors	ConceptNode
Hypertension	node	N202	Hypertension	ConceptNode
Hyperlipidaemia	node	N203	Hyperlipidaemia	ConceptNode
Glycaemic control	node	N204	Glycaemic control	ConceptNode
Risk stratification	node	N205	Risk stratification	ConceptNode
Early identification	node	N206	Early identification	ConceptNode
Modification	node	N207	Modification	ConceptNode
excludes	node	N208	excludes	PredicateNode
fails	node	N209	fails	PredicateNode
confirms	node	N210	confirms	PredicateNode
lies_in	node	N211	lies_in	PredicateNode
modifies	node	N212	modifies	PredicateNode
identifies	node	N213	identifies	PredicateNode
stratifies	node	N214	stratifies	PredicateNode
Mayo Clinic NAFLD Fibrosis Scoring System	node	N215	Mayo Clinic NAFLD Fibrosis Scoring System	ConceptNode
Mayo Clinic	node	N216	Mayo Clinic	ConceptNode
Age	node	N217	Age	ConceptNode
Hyperglycemia	node	N218	Hyperglycemia	ConceptNode
Body Mass Index	node	N219	Body Mass Index	ConceptNode
Platelet Count	node	N220	Platelet Count	ConceptNode
AST:ALT Ratio	node	N221	AST:ALT Ratio	ConceptNode
Advanced Fibrosis	node	N222	Advanced Fibrosis	ConceptNode
Underlying Liver Disease	node	N223	Underlying Liver Disease	ConceptNode
Alcohol Abuse	node	N224	Alcohol Abuse	ConceptNode
AST:ALT Ratio > 1	node	N225	AST:ALT Ratio > 1	NumberNode
uses	node	N226	uses	PredicateNode
less specific	node	N227	less specific	PredicateNode
consider	node	N228	consider	PredicateNode
SENT_15	node	N229	SENT_15	ConceptNode
