#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.NamedEntityexactmatch|value


#Text=Mechanical biliary obstruction results in raised levels of ALP, GGT and often bilirubin.
21-16	2302-2304	or	FINDING_T033[43]
21-17	2305-2308	B12	FINDING_T033[43]
21-18	2308-2309	,	_
21-19	2310-2312	or	_
21-20	2313-2316	due	_
21-21	2317-2319	to	_
21-22	2320-2321	a	_
21-23	2322-2328	direct	FINDING_T033[44]
21-24	2329-2340	suppression	FINDING_T033[44]
21-25	2341-2343	of	FINDING_T033[44]
21-26	2344-2348	bone	FINDING_T033[44]
21-27	2349-2355	marrow	FINDING_T033[44]
21-28	2356-2358	by	FINDING_T033[44]
21-29	2359-2366	alcohol	FINDING_T033[44]
21-30	2367-2369	is	_
21-31	2370-2380	supportive	_
21-32	2381-2383	of	_
21-33	2384-2387	the	_
21-34	2388-2397	diagnosis	_
21-35	2398-2400	of	_
21-36	2401-2410	alcoholic	DISEASE_OR_SYNDROME_T047[45]
21-37	2411-2416	liver	DISEASE_OR_SYNDROME_T047[45]
21-38	2417-2424	disease	DISEASE_OR_SYNDROME_T047[45]
21-39	2424-2425	.	_

#Text=A raised GGT is not diagnostic of alcohol abuse, with research showing it remains high in former drinkers as well as current drinkers.
22-1	2426-2427	A	_
22-2	2428-2434	raised	FINDING_T033[46]
22-3	2435-2438	GGT	FINDING_T033[46]
22-4	2439-2441	is	_
22-5	2442-2445	not	_
22-6	2446-2456	diagnostic	_
22-7	2457-2459	of	_
22-8	2460-2467	alcohol	DISEASE_OR_SYNDROME_T047[47]
22-9	2468-2473	abuse	DISEASE_OR_SYNDROME_T047[47]
22-10	2473-2474	,	_
22-11	2475-2479	with	_
22-12	2480-2488	research	_
22-13	2489-2496	showing	_
22-14	2497-2499	it	_
22-15	2500-2507	remains	FINDING_T033[48]
22-16	2508-2512	high	FINDING_T033[48]
22-17	2513-2515	in	_
22-18	2516-2522	former	_
22-19	2523-2531	drinkers	_
22-20	2532-2534	as	_
22-21	2535-2539	well	_
22-22	2540-2542	as	_
22-23	2543-2550	current	_
22-24	2551-2559	drinkers	_
22-25	2559-2560	.	_
